question,Kjønn
value:,count:
Kvinne,10
Mann,29
Annet,0

question,Linje
value:,count:
Datateknologi,9
Kommunikasjonsteknologi og digital sikkerhet,30

question,Klassetrinn
value:,count:
5.,5
4.,4
3.,7
2.,19
1.,4

question,Virker de daglige arbeidsoppgavene til bedriften interessante?
value:,count:
Veldig interessant,32
Interessant,6
Noe interessant,1
Lite interessant,0
Ikke interessant,0

question,Hvilke av disse egenskapene tror du bedriften kan tilby?
value:,count:
Profesjonell opplæring,39
Konkurransedyktig lønn,10
Innovasjon,22
Vennlig jobbmiljø,17
Kreativt og dynamisk jobbmiljø,35
Attraktive produkter og tjenester,15
Ingen av alternativene,0

question,Hva er ditt inntrykk av det sosiale miljøet i bedriften?
value:,count:
Veldig bra,13
Bra,20
Middels,5
Dårlig,1
Veldig dårlig,0

question,Kunne du tenke deg å jobbe for denne bedriften?
value:,count:
Ja,36
Nei,3

question,Hva er ditt inntrykk av arbeidsvilkårene i bedriften?
value:,count:
Veldig bra,13
Bra,22
Middels,4
Dårlig,0
Veldig dårlig,0

question,Hva er din helhetsvurdering av bedriften?
value:,count:
Veldig interessant,33
Ok,3
Interessant,3
Lite interessant,0
Ikke interessant,0

question,Hvordan gikk minglingen under workshopen?
value:,count:
Veldig bra,10
Bra,17
Middels,11
Dårlig,0
Veldig dårlig,1

question,Hva synes du om innholdet i workshopen?
value:,count:
Veldig bra,22
Bra,15
Middels,1
Dårlig,0
Veldig dårlig,1

question,Hva synes du om fremføringen av workshopen?
value:,count:
Veldig bra,24
Bra,13
Middels,1
Dårlig,0
Veldig dårlig,1

question,Hvor mye visste du om bedriften før workshopen?
value:,count:
Veldig mye,3
Mye,4
Noe,13
Lite,14
Veldig lite,5

question,Hva vet du om bedriften etter workshopen?
value:,count:
Veldig mye,7
Mye,16
Noe,15
Lite,1
Veldig lite,0

question,Hvordan var informasjonen om sommerjobber og ledige stillinger?
value:,count:
Svært god,16
God,15
Ok,7
Mangelfull,1
Svært mangelfull,0

question,Hvordan fikk du høre om bedriftspresentasjonen?
value:,count:
#Weekly på abakus.no,1
Abakus.no,38
Annet,0
Plakater,0
Medlemmer av Bedkom,4
Venner,12
Facebook,0
Plakater på campus,0
Instagram,1

question,Hva er ditt helhetsinntrykk av arrangementet?
value:,count:
5 - veldig bra,1
4,2
3,3
2,4
1 - veldig dårlig,5

Om minglingen: Hva kunne vært bedre og hvordan?
answer:
De virket interessert i å snakke med oss deltakere.
Veldig gøy workshop
"Kunne vært flere bedrepper, og gjerne større mangfold (var kun menn)"
"Først og fremst var det jo nesten ikke en workshop, det var en individuell konkurranse. Folk var ikke veldig gira på å hjelpe deg, siden alle ville få høyest mulig score selv. 

Siden alle hadde nesa i egen skjerm, og de fra Etterretningstjenesten egentlig kun var der for å svare på spørsmål angående oppgavene, ble det ikke noe mingling."
-
"Litt mer tid til mingling, hadde mest lyst til å bruke tiden på å jobbe med CTF"
"Bedrepperne kunne vært litt mer på, men de var forsåvidt flinke"
Ble ikke noe mingling men det gikk bra ettersom det vi gikk gjennom var interessant nok dessuten er de ansatte hemmelige eller noe så det hadde kanskje ikke passet med så mye mingling.
""
Var ikke noe mingling

Om workshopen: Hva kunne vært bedre og hvordan?
answer:
Litt kjipt at man ikke kunne kjøre koden på Mac
"Veldig bra! Utrolig spennende tema, det var oppgaver for alle nivåer. Bedreppene var flinke og tok seg god tid til å forklare å vise."
"En workshop skal inneholde samarbeid. Her var det ingen samarbeid. Alle prøvde å utkonkurrere hverandre på poeng, så folk var ikke gira på å hjelpe.

I tillegg sto det at du ikke trengte noen forkunnskaper, men det lønte seg å kunne noe C. Dette var feil. Hvis du ikke kunne C klarte du nesten ingen oppgaver. Det var ABSOLUTT krav til forkunnskap.

I tillegg hadde de som hadde Mac eller Windows veldig dårlig utgangspunkt. Flere av oppgavene funket kun ordentlig på Linux. Kunne blitt spesifisert i arrangementet."
"Tydeligere separering av gjennomganger, mingling og ctf-tid. Slik det var nå overlappet flere av tingene og da må man prioritere vekk for eksempel mingling for ikke å tape ctf-en."
Kanskje noen litt lettere oppgaver i CTF-en til folk som ikke hadde gjort det før
"Mer tid, mer teori kanskje"
Ikke så mye

Hva kunne du tenke deg at bedriften skal prate om ved neste anledning?
answer:
Samme
"Presentasjonen var spennende, men mye var hemmelig, så de kunne ikke snakke om det. Vil si presentasjonen var så bra som mulig."
-
Det samme
Reelle eksempler som ikke er hemmelighetsstemplet
""
En annen type workshop? Veldig gøy at vi fikk gjøre noe og de var flinke til å forklare!
"Gjerne komme igjen med flere CTFer. Denne gangen var fokus på reverse engineering, andre anledninger kan fokusere på andre temaer:)"

Har du noen sluttkommentarer om hva som var bra eller hva som kunne vært bedre? Spesifiser om det er til bedriften eller Bedkom.
answer:
Utrolig bra
"Dette var ikke et opplegg for en førsteklassing som ikke kunne C. Følte jeg tok opp en plass for noen som hadde klart konkurransen bedre. Neste gang bør dere spesifisere at man MÅ kunne C. Ikke bare at det hjelper litt. 

Heller ikke kall dette er workshop. Workshop inneholder samarbeid. Dette var en individuell konkurranse hvor ingen elever ville hjelpe hverandre, ettersom alle jaktet høyest score."
"Grano har latterlig bra pizza.
Syns også det generelt var en veldig bra workshop. Opplegget var gjennomtenkt så man lærte mye om det man skulle. 
Og man fikk også vite en del om bedriften som ellers ikke er mulig. Det var nice"
"Kunne kanskje hatt litt mer tid til å spise, ikke bare begynne rett på CTF"
Veldig god pizza

